Protein #,3280-/-,HeLa,3289-/-,3238+/+,3277+/+,MA1,MA1,Protein.Group,Genes,Protein.Names
1520,23.31307573,NA,21.43385975,23.02243472,21.05505487,22.9142723,22.49526558,Q6GQT1,A2m,A2MG_MOUSE
2471,NA,19.40190031,NA,NA,NA,NA,NA,P58742,Aaas,AAAS_MOUSE
2382,20.11907706,NA,20.1577587,20.35480434,20.22582815,19.69936326,19.94250655,Q99PG0,Aadac,AAAD_MOUSE
2748,NA,19.03569317,NA,NA,NA,NA,NA,Q3UHJ0,Aak1,AAK1_MOUSE
932,NA,22.05306479,NA,NA,NA,NA,NA,Q8BGQ7,Aars1,SYAC_MOUSE
3118,NA,18.3278026,NA,NA,NA,NA,NA,Q14CH7,Aars2,SYAM_MOUSE
2522,NA,19.28421863,NA,NA,NA,NA,NA,Q3THG9,Aarsd1,AASD1_MOUSE
2147,NA,19.72051482,NA,NA,NA,NA,NA,Q9CQF6,Aasdhppt,ADPPT_MOUSE
1960,16.84891836,NA,16.76305856,16.94492792,17.20061039,NA,17.53513594,Q99K67,Aass,AASS_MOUSE
1491,NA,17.34269974,NA,NA,NA,NA,NA,Q9JKX4,Aatf,AATF_MOUSE
1414,17.07825724,NA,19.07829295,18.1376924,17.95194826,NA,16.89380948,P41233,Abca1,ABCA1_MOUSE
895,20.67133599,NA,21.20427011,20.68675174,20.51635614,19.803424,19.54628669,Q8K441,Abca6,ABCA6_MOUSE
944,18.56864656,NA,18.83293226,18.34622483,18.06992044,NA,NA,Q8K440,Abca8b,ABC8B_MOUSE
30,17.92846002,19.55560369,18.09091145,17.91838691,17.64465836,18.26963795,18.13822895,Q9JI39,Abcb10,ABCBA_MOUSE
316,20.69579646,NA,21.15936509,20.35607895,20.77979737,19.40430279,19.00007298,Q9QY30,Abcb11,ABCBB_MOUSE
38,20.35181503,NA,20.31418466,20.0185344,20.28384105,18.70243377,17.93707607,P21440,Abcb4,MDR3_MOUSE
816,19.6292929,NA,19.84520033,19.38440394,19.30285997,NA,NA,Q9DC29,Abcb6,ABCB6_MOUSE
368,18.54301549,20.731988,18.56003985,18.45072901,18.63937987,NA,18.80365988,Q61102,Abcb7,ABCB7_MOUSE
994,19.53020174,NA,19.42352567,19.23120493,19.63292439,NA,16.78862524,Q9CXJ4,Abcb8,MITOS_MOUSE
1372,NA,19.8036977,14.79261831,NA,NA,NA,NA,O35379,Abcc1,MRP1_MOUSE
616,20.63712859,NA,21.16927342,20.11303056,20.73215297,19.06613193,18.24520372,Q8VI47,Abcc2,MRP2_MOUSE
821,20.00191231,19.04589405,20.6193285,19.60602464,19.79006814,19.91646647,19.72877616,B2RX12,Abcc3,MRP3_MOUSE
863,NA,18.54150504,NA,NA,NA,NA,NA,E9Q236,Abcc4,MRP4_MOUSE
53,21.75119985,NA,23.51014685,21.75782573,22.09463232,20.1359836,19.85822948,Q9R1S7,Abcc6,MRP6_MOUSE
1237,19.72579514,20.55709774,19.27347388,19.59044306,19.92020307,NA,NA,P48410,Abcd1,ABCD1_MOUSE
1626,20.64440115,NA,19.41845756,19.71707232,19.94065905,NA,NA,Q61285,Abcd2,ABCD2_MOUSE
1625,23.71885943,21.65128806,23.33394439,23.21857221,23.8541188,22.69229493,21.97250371,P55096,Abcd3,ABCD3_MOUSE
2287,NA,NA,16.18739847,NA,NA,NA,NA,O89016,Abcd4,ABCD4_MOUSE
171,NA,20.77285296,17.41608675,NA,NA,NA,NA,P61222,Abce1,ABCE1_MOUSE
