"Protein.Group","Genes","Protein.Names","X3280...","X3289...","X3238...","X3277...","MA1","MA1.1","X3224...","X3291...","X2093...","X3225...","MA3","MA4"
"A1L3P4","Slc9a6","SL9A6_MOUSE",19.18846232,19.32666395,18.62218293,18.73725614,NA,NA,18.6327917,17.74746565,18.30584721,18.15306987,NA,NA
"A2A8L5","Ptprf","PTPRF_MOUSE",NA,17.59231716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2A974","Cyp4a12b","CP4CB_MOUSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.40081634,18.6349844
"A2AKQ0","Slc35d1","S35D1_MOUSE",20.28109169,19.70423163,19.8782417,19.14001785,18.25362941,17.31189438,18.07436442,17.84996588,17.86596439,17.37288888,17.46544345,16.00176232
"A2ALW5","Dnajc25","DJC25_MOUSE",NA,20.34574741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2AQ07","Tubb1","TBB1_MOUSE",NA,NA,NA,NA,NA,NA,17.95518002,16.51500645,18.15887055,17.92727289,17.98704958,17.38987006
"A2ASZ8","Slc25a25","SCMC2_MOUSE",19.97313827,20.00664871,20.05687991,19.99031133,NA,NA,19.30324261,18.92376735,19.7103639,18.2540273,17.17057721,16.87691728
"A2AWR3","Gpr155","LYCHS_MOUSE",17.34121127,17.60548976,16.99722177,17.34786243,NA,NA,NA,NA,NA,NA,NA,NA
"A6X919","Dpy19l1","D19L1_MOUSE",20.95321597,20.9538954,20.34665772,20.51947715,NA,NA,18.41879557,17.81756652,18.2030814,17.23106906,16.78826578,NA
"A6X935","Itih4","ITIH4_MOUSE",18.74648152,NA,NA,NA,NA,NA,20.26457397,19.41730278,20.35384656,19.60854687,19.73425674,20.00331109
"A9JSM3","Tmem238","TM238_MOUSE",17.41632776,18.53077399,NA,17.28320332,NA,NA,NA,NA,NA,NA,NA,NA
"B1AUE5","Pex10","PEX10_MOUSE",18.48651972,17.85770774,18.65083325,18.66641767,NA,15.3066692,NA,NA,NA,NA,NA,NA
"B2RQC6","Cad","PYR1_MOUSE",17.29206164,NA,17.24506756,NA,NA,NA,16.3910401,NA,16.81238657,15.78381017,15.53111679,16.02210785
"B2RX12","Abcc3","MRP3_MOUSE",20.00191231,20.6193285,19.60602464,19.79006814,19.91646647,19.72877616,19.58040466,19.17198565,19.17529142,18.78823981,18.5196258,17.54693727
"B2RXS4","Plxnb2","PLXB2_MOUSE",17.32181087,18.17829941,17.4304577,17.04890832,16.83560851,17.73210001,15.9616117,15.02402416,16.53829798,14.85538448,14.67778679,15.38533067
"B9EJ86","Osbpl8","OSBL8_MOUSE",17.49813973,17.81503878,NA,17.62766825,NA,NA,16.57651657,15.93113497,16.76316128,14.99553375,14.72533584,14.22567628
"C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q64523;Q6GSS7;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2","H2ac11;H2ac12;H2ac13;H2ac15;H2ac20;H2ac25;H2ac4;H2ac6;H2ac7;H2ac8;H2aj;Hist1h2af;Hist1h2an;Hist1h2ao;Hist1h2ap;Hist2h2aa1","H2A1B_MOUSE;H2A1C_MOUSE;H2A1D_MOUSE;H2A1E_MOUSE;H2A1F_MOUSE;H2A1G_MOUSE;H2A1H_MOUSE;H2A1I_MOUSE;H2A1K_MOUSE;H2A1N_MOUSE;H2A1O_MOUSE;H2A1P_MOUSE;H2A2A_MOUSE;H2A2C_MOUSE;H2A3_MOUSE;H2AJ_MOUSE",21.22408045,21.31672842,21.27690829,22.43979029,23.3669588,22.32761275,23.42229488,18.71744521,21.06926525,22.350751,NA,20.48732153
"D3YXG0","Hmcn1","HMCN1_MOUSE",20.17751364,18.68467739,20.00463212,NA,19.9319102,17.89306691,19.7685764,18.61875125,20.02990848,19.15475768,19.37854468,19.60739299
"E9PV24","Fga","FIBA_MOUSE",21.81857804,21.34593919,22.6448501,21.66553675,23.01917104,23.46551207,21.85239426,20.41127721,21.46320472,20.38071663,20.9430596,24.22640157
"E9PVA8","Gcn1","GCN1_MOUSE",18.94400998,17.80799832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
